,,Year Model ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make,model,1973 & OLDER ,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,TOTAL
DODGE ,COLT ,0,168,126,338,237,602,467,685,646,582,503,693,1139,3096,5226,7307,11342,4446,7730,5532,9669,3227,0,0,0,0,0,0,0,0,0,0,0,0,63761
DODGE ,CORONET ,0,659,947,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838
DODGE ,D100 ,0,3113,3185,4223,5577,1106,4882,0,0,0,0,0,0,6818,7458,12726,11567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60655
DODGE ,D100 CLUB CAB ,0,635,497,457,571,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207
DODGE ,D200 ,0,1335,1451,1164,1562,2217,1256,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9957
DODGE ,D200 CLUB CAB ,0,608,390,289,422,464,331,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565
DODGE ,D300 ,0,884,662,472,597,1000,842,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5257
DODGE ,D300 CLUB CAB ,0,4,66,80,109,129,164,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
DODGE ,DART ,0,5497,3075,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880
DODGE ,MB300 ,0,1073,3300,4248,13126,5787,2630,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30302
DODGE ,MONACO ,0,1716,1292,641,1851,1435,0,0,0,0,0,0,0,0,0,0,0,2292,4245,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14389
DODGE ,RAMCHARGER ,0,420,507,539,874,989,1781,462,589,1611,4046,6907,10267,6881,9388,8662,10607,6847,2616,1870,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,77432
DODGE ,RM300 ,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
DODGE ,RM350 ,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
DODGE ,RM400 ,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
DODGE ,W100 ,0,1675,1997,1994,2755,0,0,0,0,0,0,0,0,2125,2730,4734,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22629
DODGE ,W100 CLUB CAB ,0,478,485,345,471,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983
DODGE ,W200 ,0,1505,1158,1509,3447,1583,1917,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11910
DODGE ,W200 CLUB CAB ,0,528,425,319,365,399,325,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450
DODGE ,W300 ,0,212,269,183,179,179,184,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340
EAGLE/AMC ,AMBASSADOR ,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
EAGLE/AMC ,GREMLIN ,0,476,307,385,363,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704
EAGLE/AMC ,HORNET ,0,777,610,821,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115
EAGLE/AMC ,JAVELIN ,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994
EAGLE/AMC ,MATADOR ,0,464,352,380,423,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971
FIAT ,124,0,653,788,918,1165,2096,2703,2473,2388,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14804
FIAT ,128,0,35,22,9,21,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
FIAT ,X-1/9 ,0,181,1,158,3,260,479,388,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498
FORD ,BRONCO ,0,213,2226,2931,111,12039,323,5211,5699,7635,8883,12609,14495,22720,17919,27996,37610,32059,15466,16471,21814,22838,26728,25267,0,0,0,0,0,0,0,0,0,0,339263
FORD ,COURIER ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FORD ,CUSTOM 500 ,0,699,796,641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137
FORD ,E-100 ,0,1040,439,807,392,577,977,928,1413,1738,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10143
FORD ,E-100 CLUB WGN ,0,32,19,36,17,42,70,60,117,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599
FORD ,E-200 ,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149
