STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYCB0015,"ANCRAMDALE 0.2 N, NY US",42.020782,-73.592534,186.2
USW00094790,"WATERTOWN INTERNATIONAL AIRPORT, NY US",43.98872,-76.02609,94.7
US1NYSF0080,"REMSENBURG SPEONK 0.9 NE, NY US",40.8239,-72.6947,10.1
US1NYSF0084,"CENTEREACH 1.3 NE, NY US",40.88533,-73.06694,31.1
US1NYSF0085,"PATCHOGUE 0.9 SE, NY US",40.751594543457,-73.0092391967773,1.2
US1NYGN0006,"STAFFORD 1.8 NE, NY US",42.9989,-78.0483,274
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",40.668899,-73.418342,3.7
USC00309593,"WYOMING 3 W, NY US",42.82025,-78.14782,475.2
US1NYCT0002,"RANDOLPH 1.1 ENE, NY US",42.170556,-78.961201,406.9
USC00306085,"NORWICH, NY US",42.5117,-75.5197,301.4
US1NYCB0009,"HILLSDALE 5.8 S, NY US",42.261653,-73.541606,377
USC00300343,"AVON, NY US",42.9203,-77.7557,166.1
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7
USC00300220,"ARCADE, NY US",42.53482,-78.45724,434.9
USC00303851,"HIGHMARKET 2 W, NY US",43.60514,-75.55438,549.9
US1NYMR0015,"BROCKPORT 0.6 WNW, NY US",43.21615,-77.95253,117.7
US1NYCT0030,"FRANKLINVILLE 3.5 E, NY US",42.3366,-78.38794,618.7
USC00301309,"CENTERPORT, NY US",40.88345,-73.37309,9.1
US1NYOT0035,"RICHFIELD SPRINGS 4.6 SSE, NY US",42.79,-74.961,450.8
USC00301787,"CORNING, NY US",42.1341,-77.0691,349.6
USC00303961,"HOOKER 12 NNW, NY US",43.8524,-75.7158,450.5
USC00300331,"AURORA RESEARCH FARM, NY US",42.7338,-76.6591,253
USC00309248,"WESTMORELAND 4 N, NY US",43.1595,-75.4611,172.2
USC00304912,"LOWVILLE, NY US",43.7929,-75.4829,263
US1NYCT0025,"ISCHUA 0.4 SSE, NY US",42.2429962158203,-78.3964233398438,466
US1NYSF0062,"COPIAGUE 0.4 ENE, NY US",40.672621,-73.383889,3.7
US1NYOT0030,"MOUNT VISION 1.4 SW, NY US",42.561726,-75.072693,425.8
US1NYOT0031,"MARYLAND 1.8 W, NY US",42.5331,-74.9209,496.8
US1NYSF0060,"BLUE POINT 0.4 E, NY US",40.750674,-73.027956,5.2
US1NYOT0026,"RICHFIELD SPRINGS 4.1 SSE, NY US",42.796397,-74.965803,474.6
US1NYCT0022,"FRANKLINVILLE 0.5 NNE, NY US",42.341661,-78.452813,488.6
US1NYGN0020,"ALDEN 2.5 SE, NY US",42.874609,-78.458043,311.8
USC00303955,"HONEOYE, NY US",42.79148,-77.51331,243.8
USC00309499,"WILMINGTON 2 W, NY US",44.3931,-73.8589,615.7
US1NYGN0023,"BATAVIA 1.4 E, NY US",42.9965178,-78.1541113,NA
USC00300321,"AUBURN, NY US",42.9327,-76.5447,234.7
USC00300684,"BINGHAMTON WEATHER FORECAST OFFICE, NY US",42.2116,-75.9858,487.7
USC00300443,"BATAVIA, NY US",43.02966,-78.16822,278.3
US1NYER0063,"GLENWOOD 1.5 SE, NY US",42.601951,-78.63909,430.1
US1NYOS0015,"MINETTO 0.1 SE, NY US",43.397711,-76.479583,107
USW00054746,"MONTICELLO SULLIVAN, NY US",41.70139,-74.795,427.6
US1NYWC0006,"SOUTH SALEM 2.1 NW, NY US",41.3003,-73.57,151.5
