STATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00306276,1/23/23,,,1.3,0,0,,45,34,40
USC00306276,1/24/23,,,0.21,0,0,,45,33,34
USC00306276,1/25/23,,,0,0,0,,44,34,37
USC00306276,1/26/23,,,1.56,0,0,,57,37,46
USC00306276,1/27/23,,,0,0,0,,46,32,43
USC00306276,1/28/23,,,0,0,0,,44,30,44
USC00306276,1/29/23,,,0,0,0,,50,35,45
USC00306276,1/30/23,,,0,0,0,,52,42,42
USC00306276,1/31/23,,,0.04,0.2,0,,52,32,32
USC00308577,1/1/23,,,0.23,,,,57,46,47
USC00308577,1/2/23,,,0,,,,52,36,39
USC00308577,1/3/23,,,0.02,,,,52,39,50
USC00308577,1/4/23,,,0.31,,,,52,47,52
USC00308577,1/5/23,,,0.02,,,,65,44,44
USC00308577,1/6/23,,,0.14,,,,46,39,40
USC00308577,1/7/23,,,0.03,,,,45,33,33
USC00308577,1/8/23,,,0,,,,43,29,30
USC00308577,1/9/23,,,0,,,,38,28,36
USC00308577,1/10/23,,,0,,,,43,29,37
USC00308577,1/11/23,,,0,,,,40,31,32
USC00308577,1/12/23,,,0.04,,,,40,30,39
USC00308577,1/13/23,,,0.4,,,,55,39,49
USC00308577,1/14/23,,,0,,,,54,31,31
USC00308577,1/15/23,,,0,,,,34,28,30
USC00308577,1/16/23,,,0,,,,38,28,29
USC00308577,1/17/23,,,0,,,,43,26,28
USC00308577,1/18/23,,,0,,,,45,28,45
USC00308577,1/19/23,,,0,,,,,32,38
USC00308577,1/20/23,,,0.65,,,,45,35,36
USC00308577,1/21/23,,,0,,,,47,36,36
USC00308577,1/22/23,,,0,,,,47,34,35
USC00308577,1/23/23,,,0.52,,,,40,35,38
USC00308577,1/24/23,,,0.12,,,,38,33,35
USC00308577,1/25/23,,,0,,,,44,28,34
USC00308577,1/26/23,,,1.56,,,,54,32,43
USC00308577,1/27/23,,,0,,,,44,29,36
USC00308577,1/28/23,,,0,,,,43,27,38
USC00308577,1/29/23,,,0,,,,50,34,42
USC00308577,1/30/23,,,0,,,,50,34,39
USC00308577,1/31/23,,,0.05,,,,53,31,32
USC00308455,1/1/23,,,0,0,0,,45,32,34
USC00308455,1/2/23,,,0,0,0,,44,34,38
USC00308455,1/3/23,,,0,0,0,,50,32,39
USC00308455,1/4/23,,,0,0,0,,39,33,35
USC00308455,1/5/23,,,0,0,0,,47,27,33
USC00308455,1/6/23,,,0,0,0,,36,24,30
USC00308455,1/7/23,,,0,0,0,,41,25,26
USC00308455,1/8/23,,,0,0,0,,28,15,20
USC00308455,1/9/23,,,0,0,0,,28,20,28
USC00308455,1/10/23,,,0,0,0,,32,21,21
USC00308455,1/11/23,,,0,0,0,,36,21,25
USC00308455,1/12/23,,,0,0,0,,33,24,33
USC00308455,1/13/23,,,0,0,0,,39,27,27
USC00308455,1/14/23,,,0.47,7,7,,28,11,13
