airline,overall,traveller_type,cabin,route,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money
Turkish Airlines,10,Solo Leisure,Economy Class,Ljubljana to Bangkok via Istanbul,4,5,5,5,5,5
Turkish Airlines,1,Solo Leisure,Business Class,Calgary to Nairobi via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Minsk to Beirut via Istanbul,1,2,2,1,1,1
Turkish Airlines,10,Solo Leisure,Economy Class,Istanbul to Singapore,3,5,5,5,5,5
Turkish Airlines,1,Solo Leisure,Business Class,Istanbul to Manila,2,1,1,1,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Algiers to Manchester via Istanbul,3,1,1,1,1,1
Turkish Airlines,8,Couple Leisure,Economy Class,Zagreb to Singapore via Istanbul,4,5,3,5,5,5
Turkish Airlines,1,Couple Leisure,Economy Class,Zurich to Delhi via Istanbul,2,2,2,2,1,1
Turkish Airlines,1,Family Leisure,Economy Class,Los Angeles to Tirana via Istanbul,3,1,3,1,1,1
Turkish Airlines,4,Business,Business Class,Istanbul to Duesseldorf,1,1,2,1,1,2
Turkish Airlines,3,Business,Economy Class,New York to Istanbul,1,1,1,1,1,1
Turkish Airlines,2,Solo Leisure,Economy Class,Oporto to Bangkok via Istanbul,1,5,4,3,1,3
Turkish Airlines,1,Solo Leisure,Economy Class,Singapore to Belgrade via Istanbul,3,1,1,3,1,1
Turkish Airlines,2,Business,Economy Class,Istanbul to Zurich,1,4,3,1,3,1
Turkish Airlines,1,Solo Leisure,Economy Class,Paris CDG to Kenya Mombasa via Istanbul,2,3,3,1,1,1
Turkish Airlines,3,Solo Leisure,Economy Class,NAV to IST,1,3,3,1,2,2
Turkish Airlines,9,Solo Leisure,Economy Class,Miami to Istanbul,5,5,5,5,4,5
Turkish Airlines,2,Solo Leisure,Economy Class,Toulouse to Singapore via Istanbul,2,2,3,3,1,2
Turkish Airlines,9,Family Leisure,Economy Class,Miami to Bucharest,4,5,5,5,5,5
Turkish Airlines,3,Solo Leisure,Economy Class,Chicago to Sarajevo via Istanbul,3,3,3,3,2,2
Turkish Airlines,2,Business,Economy Class,Istanbul to Pristina,3,4,3,3,3,1
Turkish Airlines,9,Family Leisure,Economy Class,Seychelles to Dublin via Istanbul,4,5,4,4,5,5
Turkish Airlines,9,Couple Leisure,Economy Class,Istanbul to Bangkok,5,5,5,4,2,5
Turkish Airlines,3,Business,Economy Class,Mogadishu to Amsterdam via Istanbul,2,2,1,1,2,1
Turkish Airlines,2,Family Leisure,Economy Class,Boston to Cairo via Istanbul,1,2,4,4,1,2
Turkish Airlines,3,Solo Leisure,Economy Class,Istanbul to Geneva,1,1,2,2,1,1
Turkish Airlines,10,Business,Economy Class,Prague to Tbilisi via Istanbul,5,5,5,3,4,5
Turkish Airlines,1,Couple Leisure,Economy Class,London to Jordan via Istanbul,1,1,1,1,1,2
Turkish Airlines,10,Couple Leisure,Economy Class,Hamburg to Istanbul,5,5,5,5,5,5
Turkish Airlines,1,Family Leisure,Economy Class,Houston to Munich via Istanbul,1,2,2,2,1,2
Turkish Airlines,1,Solo Leisure,Economy Class,Pisa to Istanbul,1,1,1,1,1,1
Turkish Airlines,9,Solo Leisure,Economy Class,Chicago to Cape Town via Istanbul,4,5,5,4,5,5
Turkish Airlines,9,Solo Leisure,Economy Class,Chicago to Zagreb via Istanbul,4,5,5,4,5,5
Turkish Airlines,1,Solo Leisure,Economy Class,Denpasar to Budapest via KUL / IST,4,3,3,4,1,2
Turkish Airlines,9,Couple Leisure,Economy Class,Muscat to Brussels via Istanbul,4,4,4,4,4,5
Turkish Airlines,5,Business,Business Class,Amsterdam to Seoul via Istanbul,3,5,2,4,3,2
Turkish Airlines,2,Solo Leisure,Economy Class,Boston to Kathmandu via Istanbul,2,3,3,2,1,1
Turkish Airlines,8,Solo Leisure,Economy Class,Toronto to Mumbai via Istanbul,4,5,5,5,3,4
Turkish Airlines,3,Family Leisure,Economy Class,Istanbul to Athens,3,4,3,5,4,5
