id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
27422570,16,0,0,2020-01-05,2019-11-15,4.63,4.69,4.69,4.94,5,4.81,4.5,0.68
27424610,82,16,0,2018-10-23,2021-10-15,4.6,4.56,4.55,4.85,4.84,4.68,4.6,2.16
27425011,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27425828,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27426650,87,18,4,2019-01-05,2021-10-30,4.71,4.7,4.64,4.9,4.93,4.72,4.72,2.45
27426767,30,0,0,2019-06-01,2019-12-02,4.83,4.9,4.87,5,5,4.87,4.67,0.98
27427289,2,0,0,2019-04-09,2019-05-09,5,5,5,5,5,5,5,0.06
27429253,4,0,0,2019-03-28,2019-08-21,4,4,2.75,4,4.75,4,3.5,0.12
27429817,77,39,3,2019-05-25,2021-11-26,4.99,4.99,4.92,4.99,5,4.9,4.92,2.49
27430466,5,0,0,2018-08-23,2019-07-12,5,5,5,5,5,5,5,0.13
27430644,155,34,2,2018-12-06,2021-11-26,4.63,4.88,4.35,4.95,4.85,4.81,4.78,4.24
27431313,5,0,0,2018-10-10,2018-09-02,5,4.75,5,5,5,5,4.5,0.13
27432653,3,0,0,2018-11-14,2019-05-28,5,5,4.5,5,5,5,5,0.08
27434658,1,0,0,2018-09-12,2018-09-12,5,5,5,5,5,5,5,0.03
27436322,1,0,0,2018-08-27,2018-08-27,0,NA,NA,NA,NA,NA,NA,0.03
27437662,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27439092,2,0,0,2018-08-25,2019-05-26,5,5,4.5,5,5,5,5,0.05
27441369,3,3,2,2021-11-09,2021-07-11,3.67,4.33,3.67,4.33,4.33,4,4,3
27453970,29,0,0,2019-03-11,2019-07-15,4.59,4.9,4.59,4.9,4.86,4.38,4.69,0.87
27455308,107,1,0,2019-04-01,2021-04-29,4.97,4.95,4.95,4.98,5,4.74,4.94,3.28
27458304,3,1,0,2019-10-06,2021-07-24,4.67,5,5,5,5,5,4.67,0.11
