city,year,population
Bedias,2015,452
Bedias,2016,456
Bedias,2017,461
Bedias,2018,464
Bedias,2019,470
Bee Cave,2010,4060
Bee Cave,2011,4498
Bee Cave,2012,4912
Bee Cave,2013,5350
Bee Cave,2014,6025
Bee Cave,2015,6400
Bee Cave,2016,6642
Bee Cave,2017,6658
Bee Cave,2018,6717
Bee Cave,2019,6841
Beeville,2010,12840
Beeville,2011,12963
Beeville,2012,13067
Beeville,2013,13222
Beeville,2014,13182
Beeville,2015,13092
Beeville,2016,13056
Beeville,2017,12857
Beeville,2018,12775
Beeville,2019,12793
Bellaire,2010,16953
Bellaire,2011,17221
Bellaire,2012,17535
Bellaire,2013,17958
Bellaire,2014,18362
Bellaire,2015,18662
Bellaire,2016,18798
Bellaire,2017,18842
Bellaire,2018,18892
Bellaire,2019,18971
Bellevue,2010,361
Bellevue,2011,359
Bellevue,2012,353
Bellevue,2013,350
Bellevue,2014,350
Bellevue,2015,348
Bellevue,2016,344
Bellevue,2017,350
Bellevue,2018,348
Bellevue,2019,347
Bellmead,2010,9961
Bellmead,2011,10007
Bellmead,2012,10078
Bellmead,2013,10156
Bellmead,2014,10266
Bellmead,2015,10334
Bellmead,2016,10417
Bellmead,2017,10518
Bellmead,2018,10709
Bellmead,2019,10744
Bells,2010,1401
Bells,2011,1394
Bells,2012,1403
Bells,2013,1408
Bells,2014,1416
Bells,2015,1434
Bells,2016,1466
Bells,2017,1486
Bells,2018,1490
Bells,2019,1515
Bellville,2010,4096
Bellville,2011,4127
Bellville,2012,4107
Bellville,2013,4125
Bellville,2014,4165
Bellville,2015,4224
Bellville,2016,4227
Bellville,2017,4234
Bellville,2018,4262
Bellville,2019,4219
Belton,2010,18484
Belton,2011,18905
Belton,2012,19344
Belton,2013,19559
Belton,2014,20167
Belton,2015,20577
Belton,2016,20914
Belton,2017,21620
Belton,2018,22341
Belton,2019,22885
Benavides,2010,1488
Benavides,2011,1486
Benavides,2012,1473
Benavides,2013,1468
Benavides,2014,1462
Benavides,2015,1442
Benavides,2016,1439
Benavides,2017,1413
Benavides,2018,1405
Benavides,2019,1406
Benbrook,2010,21256
Benbrook,2011,21559
Benbrook,2012,21872
Benbrook,2013,22110
Benbrook,2014,22316
Benbrook,2015,22581
Benbrook,2016,22949
Benbrook,2017,23513
Benbrook,2018,23555
Benbrook,2019,23502
Benjamin,2010,258
Benjamin,2011,259
Benjamin,2012,260
Benjamin,2013,259
Benjamin,2014,262
Benjamin,2015,262
Benjamin,2016,258
Benjamin,2017,255
Benjamin,2018,254
Benjamin,2019,254
Berryville,2010,972
Berryville,2011,980
Berryville,2012,996
Berryville,2013,1000
Berryville,2014,1017
Berryville,2015,1018
Berryville,2016,1024
Berryville,2017,1035
Berryville,2018,1049
Berryville,2019,1064
Bertram,2010,1348
Bertram,2011,1353
Bertram,2012,1354
Bertram,2013,1337
Bertram,2014,1358
Bertram,2015,1363
Bertram,2016,1409
Bertram,2017,1437
Bertram,2018,1449
Bertram,2019,1476
Beverly Hills,2010,2016
Beverly Hills,2011,2021
Beverly Hills,2012,2017
Beverly Hills,2013,2016
Beverly Hills,2014,2013
Beverly Hills,2015,2002
Beverly Hills,2016,1993
Beverly Hills,2017,1986
Beverly Hills,2018,1986
Beverly Hills,2019,1987
Bevil Oaks,2010,1273
Bevil Oaks,2011,1263
Bevil Oaks,2012,1247
Bevil Oaks,2013,1253
Bevil Oaks,2014,1249
Bevil Oaks,2015,1254
Bevil Oaks,2016,1254
Bevil Oaks,2017,1250
