city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Scottsdale,Scottsdale,AZ,Arizona,04013,Maricopa County,33.6872,-111.8651
Norfolk,Norfolk,VA,Virginia,51710,Norfolk County,36.8945,-76.259
Killeen,Killeen,TX,Texas,48027,Bell County,31.0753,-97.7297
York,York,PA,Pennsylvania,42133,York County,39.9651,-76.7315
Atlantic City,Atlantic City,NJ,New Jersey,34001,Atlantic County,39.3797,-74.4527
Nashua,Nashua,NH,New Hampshire,33011,Hillsborough County,42.7491,-71.491
Arlington,Arlington,VA,Virginia,51013,Arlington County,38.8786,-77.1011
Brownsville,Brownsville,TX,Texas,48061,Cameron County,25.9975,-97.458
Fremont,Fremont,CA,California,06001,Alameda County,37.5265,-121.9843
Gulfport,Gulfport,MS,Mississippi,28047,Harrison County,30.4274,-89.0704
Evansville,Evansville,IN,Indiana,18163,Vanderburgh County,37.9881,-87.5341
Hialeah,Hialeah,FL,Florida,12086,Miami-Dade County,25.8696,-80.3045
Navarre,Navarre,FL,Florida,12113,Santa Rosa County,30.4174,-86.8907
Bel Air South,Bel Air South,MD,Maryland,24025,Harford County,39.5022,-76.3113
North Port,North Port,FL,Florida,12115,Sarasota County,27.0576,-82.1977
San Bernardino,San Bernardino,CA,California,06071,San Bernardino County,34.1416,-117.2943
Portland,Portland,ME,Maine,23005,Cumberland County,43.6773,-70.2715
Enterprise,Enterprise,NV,Nevada,32003,Clark County,36.0091,-115.2278
Bremerton,Bremerton,WA,Washington,53035,Kitsap County,47.5436,-122.7121
Green Bay,Green Bay,WI,Wisconsin,55009,Brown County,44.5148,-87.9895
Appleton,Appleton,WI,Wisconsin,55087,Outagamie County,44.278,-88.3892
Spring Valley,Spring Valley,NV,Nevada,32003,Clark County,36.0952,-115.2636
Tacoma,Tacoma,WA,Washington,53053,Pierce County,47.2431,-122.4531
Spartanburg,Spartanburg,SC,South Carolina,45083,Spartanburg County,34.9442,-81.9251
Roanoke,Roanoke,VA,Virginia,51770,Roanoke County,37.2785,-79.9581
Gainesville,Gainesville,FL,Florida,12001,Alachua County,29.6804,-82.3459
Deltona,Deltona,FL,Florida,12127,Volusia County,28.905,-81.2137
Kalamazoo,Kalamazoo,MI,Michigan,26077,Kalamazoo County,42.2749,-85.5882
Thousand Oaks,Thousand Oaks,CA,California,06111,Ventura County,34.1914,-118.8756
Hickory,Hickory,NC,North Carolina,37035,Catawba County,35.741,-81.3223
Yonkers,Yonkers,NY,New York,36119,Westchester County,40.9466,-73.8673
Moreno Valley,Moreno Valley,CA,California,06065,Riverside County,33.9244,-117.2045
Fontana,Fontana,CA,California,06071,San Bernardino County,34.0968,-117.4599
College Station,College Station,TX,Texas,48041,Brazos County,30.5852,-96.2959
Fargo,Fargo,ND,North Dakota,38017,Cass County,46.8651,-96.8292
Amarillo,Amarillo,TX,Texas,48375,Potter County,35.1984,-101.8316
Norwich,Norwich,CT,Connecticut,09011,New London County,41.5495,-72.0882
Olympia,Olympia,WA,Washington,53067,Thurston County,47.0417,-122.8959
Waterbury,Waterbury,CT,Connecticut,09009,New Haven County,41.5582,-73.0361
Salinas,Salinas,CA,California,06053,Monterey County,36.6883,-121.6317
Huntington,Huntington,WV,West Virginia,54011,Cabell County,38.4109,-82.4345
Huntington Beach,Huntington Beach,CA,California,06059,Orange County,33.696,-118.0018
Clarksville,Clarksville,TN,Tennessee,47125,Montgomery County,36.5692,-87.3413
Santa Barbara,Santa Barbara,CA,California,06083,Santa Barbara County,34.4285,-119.7202
Glendale,Glendale,CA,California,06037,Los Angeles County,34.1819,-118.2468
Sunrise Manor,Sunrise Manor,NV,Nevada,32003,Clark County,36.1783,-115.0487
Grand Prairie,Grand Prairie,TX,Texas,48113,Dallas County,32.6871,-97.0208
Overland Park,Overland Park,KS,Kansas,20091,Johnson County,38.887,-94.687
Hagerstown,Hagerstown,MD,Maryland,24043,Washington County,39.6401,-77.7217
Nampa,Nampa,ID,Idaho,16027,Canyon County,43.5844,-116.5638
Gastonia,Gastonia,NC,North Carolina,37071,Gaston County,35.2494,-81.1854
Frisco,Frisco,TX,Texas,48085,Collin County,33.156,-96.8216
Cedar Rapids,Cedar Rapids,IA,Iowa,19113,Linn County,41.9662,-91.6783
Hemet,Hemet,CA,California,06065,Riverside County,33.7341,-116.9969
Paradise,Paradise,NV,Nevada,32003,Clark County,36.0872,-115.1355
Sioux Falls,Sioux Falls,SD,South Dakota,46099,Minnehaha County,43.5396,-96.7311
Vancouver,Vancouver,WA,Washington,53011,Clark County,45.6366,-122.5967
Peoria,Peoria,AZ,Arizona,04013,Maricopa County,33.7843,-112.2989
Waco,Waco,TX,Texas,48309,McLennan County,31.5599,-97.1882
Lorain,Lorain,OH,Ohio,39093,Lorain County,41.4409,-82.184
Erie,Erie,PA,Pennsylvania,42049,Erie County,42.1167,-80.0733
Newport News,Newport News,VA,Virginia,51700,Newport News County,37.1051,-76.5185
Aurora,Aurora,IL,Illinois,17089,Kane County,41.7638,-88.2902
Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward County,26.1412,-80.1464
Vallejo,Vallejo,CA,California,06095,Solano County,38.1125,-122.2342
Murfreesboro,Murfreesboro,TN,Tennessee,47149,Rutherford County,35.849,-86.4121
Spring Hill,Spring Hill,FL,Florida,12053,Hernando County,28.4798,-82.53
Tempe,Tempe,AZ,Arizona,04013,Maricopa County,33.3881,-111.9319
High Point,High Point,NC,North Carolina,37081,Guilford County,35.991,-79.9937
Medford,Medford,OR,Oregon,41029,Jackson County,42.3372,-122.854
Danbury,Danbury,CT,Connecticut,09001,Fairfield County,41.4015,-73.4709
Elk Grove,Elk Grove,CA,California,06067,Sacramento County,38.4161,-121.3842
Ontario,Ontario,CA,California,06071,San Bernardino County,34.0393,-117.6064
Frederick,Frederick,MD,Maryland,24021,Frederick County,39.4337,-77.4141
Vero Beach South,Vero Beach South,FL,Florida,12061,Indian River County,27.6132,-80.4163
Ocala,Ocala,FL,Florida,12083,Marion County,29.178,-82.1511
Oceanside,Oceanside,CA,California,06073,San Diego County,33.2247,-117.3083
Rancho Cucamonga,Rancho Cucamonga,CA,California,06071,San Bernardino County,34.1247,-117.5667
Garden Grove,Garden Grove,CA,California,06059,Orange County,33.7787,-117.9601
Cary,Cary,NC,North Carolina,37183,Wake County,35.7819,-78.8195
Pembroke Pines,Pembroke Pines,FL,Florida,12011,Broward County,26.0128,-80.3382
Bayamón,Bayamon,PR,Puerto Rico,72021,Bayamón County,18.3794,-66.1635
Palmdale,Palmdale,CA,California,06037,Los Angeles County,34.5944,-118.1057
Manchester,Manchester,NH,New Hampshire,33011,Hillsborough County,42.9848,-71.4447
Lafayette,Lafayette,IN,Indiana,18157,Tippecanoe County,40.3991,-86.8593
Santa Cruz,Santa Cruz,CA,California,06087,Santa Cruz County,36.9789,-122.0346
Marysville,Marysville,WA,Washington,53061,Snohomish County,48.0809,-122.1561
